m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2020	LMEL	2	60009	27	61	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	62	1			2	0.11																																																																						
4	2020	LMEL	2	60009	27	63	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	64	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	65	1			2	0.09																																																																						
4	2020	LMEL	2	60009	27	66	1			2	0.115																																																																						
4	2020	LMEL	2	60009	27	67	1			2	0.11																																																																						
4	2020	LMEL	2	60009	27	68	1			2	0.105																																																																						
4	2020	LMEL	2	60009	27	69	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	70	1			2	0.105																																																																						
4	2020	LMEL	2	60009	27	71	1			2	0.115																																																																						
4	2020	LMEL	2	60009	27	72	1			2	0.105																																																																						
4	2020	LMEL	2	60009	27	73	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	74	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	75	1			2	0.105																																																																						
4	2020	LMEL	2	60009	27	76	1			2	0.105																																																																						
4	2020	LMEL	2	60009	27	77	1			2	0.095																																																																						
4	2020	LMEL	2	60009	27	78	1			2	0.11																																																																						
4	2020	LMEL	2	60009	27	79	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	80	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	81	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	82	1			2	0.11																																																																						
4	2020	LMEL	2	60009	27	83	1			2	0.105																																																																						
4	2020	LMEL	2	60009	27	84	1			2	0.09																																																																						
